[2026-03-26T09:30:31.158Z] GET http://localhost:8765/ → 200 (11ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v1/naveen.png → 200 (64ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/techblog.png → 200 (66ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/urlshortner.png → 200 (67ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/topbot.png → 200 (66ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/aisywc.png → 200 (68ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/csis.png → 200 (68ms, ?B)
[2026-03-26T09:30:31.178Z] GET http://localhost:8765/assets/images/v2/projects/ams.png → 200 (68ms, ?B)
[2026-03-26T09:30:31.240Z] GET https://api.github.com/users/naveenkewalramani → pending (?ms, ?B)
[2026-03-26T09:30:31.240Z] GET https://api.github.com/users/naveenkewalramani/repos?sort=stars&per_page=50 → pending (?ms, ?B)
[2026-03-26T09:37:07.163Z] GET http://localhost:8765/ → 200 (6ms, 70161B)
[2026-03-26T09:37:07.174Z] GET http://localhost:8765/assets/images/v1/naveen.png → 200 (?ms, 27557066B)
[2026-03-26T09:37:07.175Z] GET http://localhost:8765/assets/images/v2/projects/techblog.png → 200 (?ms, 1190926B)
[2026-03-26T09:37:07.175Z] GET http://localhost:8765/assets/images/v2/projects/urlshortner.png → 200 (?ms, 112808B)
[2026-03-26T09:37:07.175Z] GET http://localhost:8765/assets/images/v2/projects/topbot.png → 200 (1ms, 2172694B)
[2026-03-26T09:37:07.176Z] GET http://localhost:8765/assets/images/v2/projects/aisywc.png → 200 (?ms, 3413960B)
[2026-03-26T09:37:07.176Z] GET http://localhost:8765/assets/images/v2/projects/csis.png → 200 (?ms, 6318321B)
[2026-03-26T09:37:07.177Z] GET http://localhost:8765/assets/images/v2/projects/ams.png → 200 (?ms, 4402214B)
[2026-03-26T09:37:07.197Z] GET https://api.github.com/users/naveenkewalramani → pending (?ms, ?B)
[2026-03-26T09:37:07.197Z] GET https://api.github.com/users/naveenkewalramani/repos?sort=stars&per_page=50 → pending (?ms, ?B)
